Afghanistan, Afganistán, Afghanestan
Hungary, Hungría, Magyarorszag
Iceland, Islandia, Lyoveldio Island
India, India, Bharat
Indonesia, Indonesia, Indonesia
England, Inglaterra, England
Iran, Irán, Iran
Iraq, Iraq, Iraq
Ireland, Irlanda, Éire
Isle of Man, Isla Man, Isle of Man
Israel, Israel, Yisra'el
Italy, Italia, Italia
Jamaica, Jamaica, Jamaica
Japan, Japón, Nippon
Jersey, Jersey, Jersey
Jordan, Jordania, Al Urdun
Kazakhstan, Kazajstán, Qazaqstan
Kenya, Kenia, Kenya
Kiribati, Kiribati, Kiribati, Kiribas
Korea, North Korea, Corea del Norte, Choson
Korea, Corea del Sur, Han-guk
Kuwait, Kuwait, Al Kuwayt
Kyrgyzstan, Kirguistán, Kyrgyz Respublikasy
Lao, Laos, Lao
Latvia, Letonia, Latvija
Lebanon, Líbano, Lubnan
Lesotho, Lesotho, Lesotho
Liberia, Liberia, Liberia
Libya, Libia, Libiyah
Liechtenstein, Liechtenstein, Liechtenstein
Lithuania, Lituania, Lietuva
Luxembourg, Luxemburgo, Luxembourg, Letzebuerg
Macao, Macao, Aomen
Macedonia, Rep. of, Macedonia, Makedonija
Madagascar, Madagascar, Madagascar
Malawi, Malawi, Malawi
Malaysia, Malasia, Malaysia
Maldives, Maldivas, Dhivehi Raajje
Mali, Malí, Mali
Malta, Malta, Malta
Marshall Islands, Islas Marshall, Marshall Islands
Martinique, Martinica, Martinique
Mauritania, Mauritania, Muritaniyah
Mauritius, Mauricio, Mauritius
Mayotte, Mayotte, Mayotte
Mexico, México, Estados Unidos Mexicanos
Micronesia, Micronesia, Micronesia
Moldova, Moldavia, Moldova
Monaco, Mónaco, Monaco
Mongolia, Mongolia, Mongol Uls
Montenegro, Montenegro, Crna Gora
Morocco, Marruecos, Al Maghrib
Mozambique, Mozambique, Mocambique
Myanmar,  Burma, Myanmar, Birmania, Myanma Naingngandaw
Namibia, Namibia, Namibia
Nauru, Nauru, Nauru
Nepal, Nepal, Nepal
Netherlands, Países Bajos, Nederland, Holanda
Netherlands Antilles, Antillas Holandesas
Nederlandse Antillen
New Caledonia, Nueva Caledonia, Nouvelle-Calédonie
New Zealand, Nueva Zelanda, Aotearoa
Nicaragua, Nicaragua, Nicaragua
Niger, Niger, Niger
Nigeria, Nigeria, Nigeria
Niue, Niue, Niue
Norfolk Island, Norfolk Island, Norfolk Island
Northern Mariana Islands, Marianas del Norte, Northern Mariana Islands
Norway, Noruega, Norge
Oman, Omán, Saltanat Uman
Pakistan, Pakistán, Pakistan
Palau, Palau, Belau
Palestinian National Authority, Palestina, Filastin
Panama, Panamá, Panama
Papua New Guinea, Papúa-Nueva Guinea, Papua Niu Gini
Paraguay, Paraguay, Paraguay
Peru, Perú, Peru
Philippines, Filipinas, Pilipinas
Pitcairn Island, Isla Pitcairn, Pitcairn Island
Poland, Polonia, Polska
Portugal, Portugal, Portugal
Puerto Rico, Puerto Rico, Puerto Rico
Qatar, Qatar, Dawlat Qatar
Reunion Island, Reunión, Ile de la Réunion
Romania, Rumanía, Romania
Russian Federation, Federación Rusa, Rossiya
Russia, Rusia, Rossiya
Rwanda, Ruanda, Rwanda
Saint Lucia, Santa Lucía, Saint Lucia
Samoa, Samoa, Samoa
San Marino, San Marino, San Marino
Sao Tome and Príncipe, San Tomé y Príncipe, Sao Tome e Principe
Saudi Arabia, Arabia Saudita, Al Arabiyah as Suudiyah
Senegal, Senegal, Senegal
Serbia, Serbia, Srbija
Seychelles, Seychelles, Seychelles
Sierra Leone, Sierra Leona, Sierra Leone
Singapore, Singapur, Singapore
Slovakia, Eslovaquia, Slovensko
Slovenia, Eslovenia, Slovenija
Solomon Islands, Islas Salomón, Solomon Islands
Somalia, Somalia, Somalia
South Africa, Sudáfrica, South Africa
Spain, España, España
Sri Lanka, Sri Lanka, Sri Lanka
Saint Helena, Santa Elena, Saint Helena
St. Pierre and Miquelon, San Pedro y Miquelón, Saint-Pierre et Miquelon
Sudan, Sudán, As-Sudan
Suriname, Surinam, Suriname
Svalbard and Jan Mayen Islands, Isla Jan Mayen y Archipiélago de
Svalbard, Spitzbergen
Swaziland, Swazilandia, Swaziland
Sweden, Suecia, Sverige
Switzerland, Suiza, Schweiz/Suisse/Svizzera
Syria,  Syrian Arab Republic, Siria/Suriyah
Taiwan, Taiwan, T'ai-wan
Tajikistan, Tadjikistan, Jumhurii Tojikiston
Tanzania, Tanzania, Tanzania
Thailand, Tailandia, Prathet Thai
Tibet, Tíbet, Bod
Timor-Leste, Timor Oriental, Timor
Togo, Togo, Republique Togolaise
Tokelau, Tokelau, Tokelau
Tonga, Tonga, Tonga
Trinidad and Tobago, Trinidad y Tobago, Trinidad Tobago
Tunisia, Túnez, Tunis
Turkey, Turquía, Turkiye
Turkmenistan, Turkmenistan, Turkmenistan
Turks and Caicos Islands, Islas Turcas y Caicos, Turks and Caicos Islands
Tuvalu, Tuvalu, Tuvalu
Uganda, Uganda, Uganda
Ukraine, Ucrania, Ukrayina
United Arab Emirates, Emiratos Árabes Unidos, Al Imarat al Arabiyah al Muttahidah
United Kingdom, Reino Unido, United Kingdom
United States, Estados Unidos, United States
Uruguay, Uruguay, Republica Oriental del Uruguay
Uzbekistan, Uzbekistán, Uzbekiston Respublikasi
Vanuatu, Vanuatu, Vanuatu
Vatican City State (Holy See), Ciudad del Vatican/ Status Civitatis Vaticanæ
Venezuela, Venezuela, Venezuela
Vietnam, Vietnam, Viet Nam
Wallis and Futuna Islands, Wallis y Futuna, Wallis et Futuna
Yemen, Yemen, Al Yaman
Zaire  Zaire, Zaire
Zambia, Zambia, Zambia
Zimbabwe, Zimbabwe, Zimbabwe
Wales, Gales, Wales
Scotland, Escocia, Scotland
Cataluña, Catalonia, Catalunya
Basque Country, País Vasco, Euzkadi
Galicia, Galicia, Galiza
